ID,Overpayment_Amount,Payment_Date,Dollar_Error1,Dollar_Error2,Dollar_Error3,Citizenship,Age_in_yrs,ZipCodes,Marital_Status,Previous_Felony,Moved_from_out_of_state_12_mths,Income,Dependent_Care_Amount,Medical_Expense_Amount,Child_Support_Amount,Rent_Amount,Monthly_Benefit
ABC989946, ,2/1/2013, , , ,Verified,39,ZIP1,NM,N,N,0,0,0,0,0,400
ABC989946, ,3/1/2013, , , ,Verified,39,ZIP1,NM,N,N,0,0,0,0,0,400
ABC989972, ,1/1/2013, , , ,Unverified,78,ZIP5,DI,N,N,0,0,0,0,747,400
ABC989972, ,2/1/2013, , , ,Unverified,78,ZIP5,DI,N,N,0,0,0,0,747,400
ABC989972, ,3/1/2013, , , ,Unverified,78,ZIP5,DI,N,N,0,0,0,0,747,400
ABC989983, ,1/1/2013, , , ,Verified,55,ZIP5,DI,N,N,568,0,0,0,1054,474
ABC989983, ,2/1/2013, , , ,Verified,55,ZIP5,DI,N,N,568,0,0,0,1054,474
ABC989983, ,3/1/2013, , , ,Verified,55,ZIP5,DI,N,N,568,0,0,0,1054,474
ABC990042, ,1/1/2013, , , ,Verified,64,ZIP2,NM,N,N,491,0,0,0,604,186
ABC990042, ,2/1/2013, , , ,Verified,64,ZIP2,NM,N,N,491,0,0,0,604,186
ABC990042, ,3/1/2013, , , ,Verified,64,ZIP2,NM,N,N,491,0,0,0,604,186
ABC990083, ,1/1/2013, , , ,Verified,33,ZIP3,NM,N,N,0,0,0,0,1004,734
ABC990083, ,2/1/2013, , , ,Verified,33,ZIP3,NM,N,N,0,0,0,0,1004,734
ABC990083, ,3/1/2013, , , ,Verified,33,ZIP3,NM,N,N,0,0,0,0,1004,734
ABC990096, ,1/1/2013, , , ,Verified,46,ZIP3,MA,N,Y,652,0,0,0,443,88
ABC990096, ,2/1/2013, , , ,Verified,46,ZIP3,MA,N,Y,652,0,0,0,443,88
ABC990096, ,3/1/2013, , , ,Verified,46,ZIP3,MA,N,Y,652,0,0,0,443,88
ABC990133, ,1/1/2013, , , ,Verified,71,ZIP2,DI,N,N,716,0,0,0,379,50
ABC990133, ,2/1/2013, , , ,Verified,71,ZIP2,DI,N,N,716,0,0,0,379,50
ABC990133, ,3/1/2013, , , ,Verified,71,ZIP2,DI,N,N,716,0,0,0,379,50
ABC990162, ,1/1/2013, , , ,Verified,53,ZIP5,DI,N,N,1017,0,0,0,604,32
ABC990162, ,2/1/2013, , , ,Verified,53,ZIP5,DI,N,N,616,0,436.1,0,604,110
ABC990162, ,3/1/2013, , , ,Verified,53,ZIP5,DI,N,N,616,0,436.1,0,604,110
ABC990204, ,1/1/2013, , , ,Unverified,62,ZIP5,NM,N,N,0,0,0,0,0,0
ABC990204, ,2/1/2013, , , ,Unverified,62,ZIP5,NM,N,N,0,0,0,0,0,0
ABC990204, ,3/1/2013, , , ,Unverified,62,ZIP5,NM,N,N,0,0,0,0,0,0
ABC990316, ,2/1/2013, , , ,Verified,56,ZIP3,NM,N,N,398,0,0,0,736,242
ABC990316, ,3/1/2013, , , ,Verified,56,ZIP3,NM,N,N,398,0,0,0,736,242
ABC990323, ,1/1/2013, , , ,Verified,58,ZIP1,NM,N,N,696,0,0,0,373,62
ABC990323, ,2/1/2013, , , ,Verified,58,ZIP1,NM,N,N,696,0,0,0,373,62
ABC990323, ,3/1/2013, , , ,Verified,58,ZIP1,NM,N,N,696,0,0,0,373,62
ABC990369, ,1/1/2013, , , ,Verified,61,ZIP2,NM,N,N,0,0,0,0,0,400
ABC990369, ,2/1/2013, , , ,Verified,61,ZIP2,NM,N,N,0,0,0,0,0,400
ABC990369, ,3/1/2013, , , ,Verified,61,ZIP2,NM,N,N,509,0,0,0,604,174
ABC990385, ,1/1/2013, , , ,Verified,67,ZIP2,NM,N,N,0,0,0,0,0,0
ABC990385, ,2/1/2013, , , ,Verified,67,ZIP2,NM,N,N,0,0,0,0,0,0
ABC990385, ,3/1/2013, , , ,Verified,67,ZIP2,NM,N,N,0,0,0,0,0,0
ABC990398, ,1/1/2013, , , ,Verified,80,ZIP5,DI,N,N,310,0,0,0,815.37,294
ABC990398, ,2/1/2013, , , ,Verified,80,ZIP5,DI,N,N,328,0,0,0,815.37,284
ABC990398, ,3/1/2013, , , ,Verified,80,ZIP5,DI,N,N,328,0,0,0,815.37,284
ABC990415, ,2/1/2013, , , ,Verified,62,ZIP2,NM,N,N,0,0,0,0,1094,734
ABC990415, ,3/1/2013, , , ,Verified,62,ZIP2,NM,N,N,0,0,0,0,1094,734
ABC990427, ,1/1/2013, , , ,Verified,73,ZIP1,DI,N,N,794,0,0,0,453,32
ABC990427, ,2/1/2013, , , ,Verified,73,ZIP1,DI,N,N,280,0,297,0,788,312
ABC990427, ,3/1/2013, , , ,Verified,73,ZIP1,DI,N,N,257,0,311.99,0,788,326
ABC990429, ,1/1/2013, , , ,Verified,71,ZIP2,NM,N,N,0,0,0,0,0,0
ABC990429, ,2/1/2013, , , ,Verified,71,ZIP2,NM,N,N,0,0,0,0,0,0
ABC990429, ,3/1/2013, , , ,Verified,71,ZIP2,NM,N,N,0,0,0,0,0,0
ABC990443, ,1/1/2013, , , ,Verified,58,ZIP5,WI,N,N,0,0,0,0,1460.44,1052
ABC990443, ,2/1/2013, , , ,Verified,58,ZIP5,WI,N,N,0,0,0,0,1460.44,1052
ABC990443, ,3/1/2013, , , ,Verified,58,ZIP5,WI,N,N,0,0,0,0,1460.44,1052
ABC990446, ,1/1/2013, , , ,Unverified,47,ZIP5,WI,N,N,0,0,0,0,0,0
ABC990446, ,2/1/2013, , , ,Unverified,47,ZIP5,WI,N,N,0,0,0,0,0,0
ABC990446, ,3/1/2013, , , ,Unverified,47,ZIP5,WI,N,N,0,0,0,0,0,0
ABC990451, ,1/1/2013, , , ,Verified,53,ZIP2,MA,N,N,1174,0,0,0,1104,428
ABC990451,518,2/1/2013, ,518, ,Verified,53,ZIP2,MA,N,N,1174,0,0,0,1104,428
ABC990451,518,3/1/2013, ,518, ,Verified,53,ZIP2,MA,N,N,1174,0,0,0,1104,428
ABC990460, ,1/1/2013, , , ,Unverified,44,ZIP5,MA,N,N,0,0,0,0,0,0
ABC990460, ,2/1/2013, , , ,Unverified,44,ZIP5,MA,N,N,0,0,0,0,0,0
ABC990460, ,3/1/2013, , , ,Unverified,44,ZIP5,MA,N,N,1734,0,0,0,1498.82,376
ABC990462, ,1/1/2013, , , ,Unverified,59,ZIP2,WI,N,N,0,0,0,0,232,400
