ID,,Benefit_Amt
ABC996360,2/1/2013,165
ABC996360,3/1/2013,165
ABC996386,1/1/2013,276
ABC996386,2/1/2013,270
ABC996386,3/1/2013,270
ABC996404,1/1/2013,323
ABC996404,2/1/2013,323
ABC996404,3/1/2013,323
ABC996430,1/1/2013,529
ABC996430,2/1/2013,529
ABC996430,3/1/2013,529
ABC996455,1/1/2013,323
ABC996455,2/1/2013,323
ABC996455,3/1/2013,323
ABC996459,1/1/2013,179
ABC996459,2/1/2013,179
ABC996459,3/1/2013,179
ABC996471,1/1/2013,139
ABC996471,2/1/2013,139
ABC996471,3/1/2013,139
ABC996540,1/1/2013,294
ABC996540,2/1/2013,294
ABC996540,3/1/2013,294
ABC996602,1/1/2013,139
ABC996602,2/1/2013,139
ABC996602,3/1/2013,139
ABC996606,1/1/2013,265
ABC996606,2/1/2013,265
ABC996606,3/1/2013,265
ABC996622,1/1/2013,317
ABC996622,2/1/2013,317
ABC996623,1/1/2013,323
ABC996623,2/1/2013,323
ABC996623,3/1/2013,323
ABC996687,2/1/2013,276
ABC996687,3/1/2013,276
ABC996721,1/1/2013,219
ABC996721,2/1/2013,219
ABC996721,3/1/2013,219
ABC996736,1/1/2013,403
ABC996736,2/1/2013,403
ABC996736,3/1/2013,403
ABC996796,1/1/2013,323
ABC996796,2/1/2013,323
ABC996796,3/1/2013,323
ABC996830,1/1/2013,257
ABC996830,2/1/2013,253
ABC996830,3/1/2013,253
ABC996850,1/1/2013,215
ABC996850,2/1/2013,209
ABC996850,3/1/2013,209
ABC996863,1/1/2013,144
ABC996863,2/1/2013,144
ABC996863,3/1/2013,144
ABC996874,1/1/2013,625
ABC996874,2/1/2013,625
ABC996874,3/1/2013,472
ABC996885,2/1/2013,323
ABC996885,3/1/2013,323
ABC996888,1/1/2013,182
ABC996888,2/1/2013,176
ABC996888,3/1/2013,139
ABC996906,1/1/2013,321
ABC996906,2/1/2013,321
ABC996906,3/1/2013,321
ABC996919,1/1/2013,185
ABC996919,2/1/2013,175
ABC996919,3/1/2013,175
ABC996938,1/1/2013,152
ABC996938,2/1/2013,152
ABC996938,3/1/2013,152
ABC996947,1/1/2013,303
ABC996947,2/1/2013,323
ABC996947,3/1/2013,323
ABC996964,1/1/2013,582
ABC996964,2/1/2013,582
ABC996964,3/1/2013,582
ABC997003,1/1/2013,315
ABC997003,2/1/2013,315
ABC997003,3/1/2013,315
ABC997022,1/1/2013,273
ABC997022,2/1/2013,273
ABC997022,3/1/2013,273
ABC997054,1/1/2013,383
ABC997054,2/1/2013,383
ABC997054,3/1/2013,383
ABC997107,1/1/2013,276
ABC997107,2/1/2013,276
ABC997107,3/1/2013,271
ABC997148,1/1/2013,205
ABC997148,2/1/2013,198
ABC997148,3/1/2013,198
ABC997226,1/1/2013,364
ABC997226,2/1/2013,0
ABC997226,3/1/2013,0
ABC997292,1/1/2013,323
ABC997292,2/1/2013,323
ABC997292,3/1/2013,323
ABC997302,1/1/2013,490
ABC997302,2/1/2013,490
ABC997302,3/1/2013,323
ABC997343,1/1/2013,0
ABC997343,2/1/2013,0
ABC997343,3/1/2013,0
ABC997366,1/1/2013,791
ABC997366,2/1/2013,791
ABC997366,3/1/2013,791
ABC997375,1/1/2013,159
ABC997375,2/1/2013,159
ABC997375,3/1/2013,159
ABC997394,1/1/2013,323
ABC997394,2/1/2013,323
ABC997394,3/1/2013,323
ABC997406,1/1/2013,161
ABC997406,2/1/2013,161
ABC997406,3/1/2013,0
ABC997437,1/1/2013,383
ABC997437,2/1/2013,383
ABC997437,3/1/2013,383
ABC997446,1/1/2013,442
ABC997446,2/1/2013,442
ABC997446,3/1/2013,438
ABC997457,1/1/2013,323
ABC997457,2/1/2013,323
ABC997457,3/1/2013,323
ABC997465,1/1/2013,139
ABC997465,2/1/2013,139
ABC997465,3/1/2013,237
ABC997474,1/1/2013,791
ABC997474,2/1/2013,791
ABC997474,3/1/2013,791
ABC997491,1/1/2013,323
ABC997491,2/1/2013,321
ABC997491,3/1/2013,321
ABC997508,1/1/2013,152
ABC997508,2/1/2013,152
ABC997508,3/1/2013,152
ABC997510,1/1/2013,321
ABC997510,2/1/2013,490
ABC997510,3/1/2013,490
ABC997540,1/1/2013,0
ABC997540,2/1/2013,0
ABC997540,3/1/2013,0
ABC997541,3/1/2013,160
ABC997581,1/1/2013,0
ABC997581,2/1/2013,0
ABC997581,3/1/2013,0
ABC997641,1/1/2013,261
ABC997641,2/1/2013,242
ABC997641,3/1/2013,242
ABC997651,1/1/2013,323
ABC997651,2/1/2013,323
ABC997651,3/1/2013,323
ABC997664,1/1/2013,297
ABC997664,2/1/2013,297
ABC997664,3/1/2013,297
ABC997688,1/1/2013,283
ABC997688,2/1/2013,283
ABC997688,3/1/2013,278
ABC997702,1/1/2013,222
ABC997702,2/1/2013,217
ABC997702,3/1/2013,217
ABC997720,1/1/2013,324
ABC997720,2/1/2013,324
ABC997720,3/1/2013,316
ABC997747,1/1/2013,490
ABC997747,2/1/2013,490
ABC997747,3/1/2013,490
ABC997791,1/1/2013,364
ABC997791,2/1/2013,355
ABC997791,3/1/2013,479
ABC997793,1/1/2013,431
ABC997793,2/1/2013,431
ABC997793,3/1/2013,431
ABC997799,1/1/2013,258
ABC997799,2/1/2013,258
ABC997799,3/1/2013,258
ABC997802,1/1/2013,260
ABC997802,2/1/2013,260
ABC997802,3/1/2013,260
ABC997809,1/1/2013,468
ABC997809,2/1/2013,468
ABC997809,3/1/2013,458
ABC997833,1/1/2013,273
ABC997833,2/1/2013,262
ABC997833,3/1/2013,262
ABC997886,1/1/2013,234
ABC997886,3/1/2013,228
ABC997916,1/1/2013,309
ABC997916,2/1/2013,309
ABC997916,3/1/2013,309
ABC997919,1/1/2013,281
ABC997919,2/1/2013,276
ABC997919,3/1/2013,247
ABC997924,1/1/2013,323
ABC997926,1/1/2013,323
ABC997926,2/1/2013,323
ABC997926,3/1/2013,323
ABC997951,1/1/2013,148
ABC997951,2/1/2013,148
ABC997951,3/1/2013,148
ABC998010,1/1/2013,309
ABC998010,2/1/2013,309
ABC998010,3/1/2013,309
ABC998039,1/1/2013,227
ABC998039,2/1/2013,227
ABC998039,3/1/2013,227
ABC998073,2/1/2013,226
ABC998073,3/1/2013,226
ABC998116,1/1/2013,360
ABC998116,2/1/2013,349
ABC998116,3/1/2013,349
ABC998138,2/1/2013,214
ABC998138,3/1/2013,214
ABC998146,1/1/2013,0
ABC998146,2/1/2013,0
ABC998146,3/1/2013,0
ABC998155,1/1/2013,244
ABC998155,2/1/2013,238
ABC998155,3/1/2013,238
ABC998180,1/1/2013,700
ABC998180,2/1/2013,700
ABC998180,3/1/2013,700
ABC998183,1/1/2013,265
ABC998183,2/1/2013,260
ABC998183,3/1/2013,260
ABC998253,1/1/2013,147
ABC998253,2/1/2013,0
ABC998253,3/1/2013,0
ABC998254,1/1/2013,413
ABC998254,2/1/2013,413
ABC998254,3/1/2013,413
ABC998264,1/1/2013,323
ABC998264,2/1/2013,323
ABC998264,3/1/2013,323
ABC998265,1/1/2013,323
ABC998265,2/1/2013,323
ABC998307,1/1/2013,194
ABC998307,2/1/2013,194
ABC998307,3/1/2013,194
ABC998317,1/1/2013,0
ABC998317,2/1/2013,0
ABC998317,3/1/2013,0
ABC998318,1/1/2013,916
ABC998318,2/1/2013,916
ABC998318,3/1/2013,916
ABC998326,1/1/2013,406
ABC998326,2/1/2013,444
ABC998326,3/1/2013,444
ABC998340,1/1/2013,0
ABC998340,2/1/2013,0
ABC998340,3/1/2013,0
ABC998405,1/1/2013,323
ABC998405,2/1/2013,0
ABC998405,3/1/2013,0
ABC998434,1/1/2013,323
ABC998434,2/1/2013,323
ABC998435,3/1/2013,0
ABC998457,1/1/2013,629
ABC998457,2/1/2013,649
ABC998457,3/1/2013,649
ABC998542,1/1/2013,398
ABC998542,2/1/2013,404
ABC998542,3/1/2013,404
ABC998543,1/1/2013,354
ABC998543,2/1/2013,364
ABC998543,3/1/2013,354
ABC998587,1/1/2013,0
ABC998587,2/1/2013,0
ABC998587,3/1/2013,0
ABC998669,1/1/2013,916
ABC998669,2/1/2013,916
ABC998669,3/1/2013,916
ABC998677,1/1/2013,649
ABC998677,2/1/2013,0
ABC998677,3/1/2013,0
ABC998741,1/1/2013,791
ABC998741,2/1/2013,791
ABC998741,3/1/2013,916
ABC998783,1/1/2013,0
ABC998783,2/1/2013,0
ABC998783,3/1/2013,0
ABC998835,1/1/2013,490
ABC998835,2/1/2013,490
ABC998835,3/1/2013,490
ABC998846,2/1/2013,263
ABC998846,3/1/2013,263
ABC998906,2/1/2013,490
ABC998906,3/1/2013,490
ABC998932,1/1/2013,175
ABC998932,2/1/2013,174
ABC998932,3/1/2013,174
ABC998997,1/1/2013,530
ABC998997,2/1/2013,530
ABC998997,3/1/2013,530
ABC999005,1/1/2013,253
ABC999005,3/1/2013,249
ABC999008,1/1/2013,323
ABC999008,2/1/2013,323
ABC999008,3/1/2013,323
ABC999016,1/1/2013,323
ABC999016,2/1/2013,323
ABC999016,3/1/2013,0
ABC999042,1/1/2013,176
ABC999042,2/1/2013,151
ABC999042,3/1/2013,151
ABC999104,1/1/2013,0
ABC999104,2/1/2013,0
ABC999104,3/1/2013,0
ABC999149,1/1/2013,323
ABC999149,2/1/2013,323
ABC999149,3/1/2013,323
ABC999152,1/1/2013,201
ABC999152,2/1/2013,201
ABC999152,3/1/2013,0
ABC999178,1/1/2013,295
ABC999178,2/1/2013,342
ABC999178,3/1/2013,342
ABC999208,1/1/2013,649
ABC999208,2/1/2013,649
ABC999208,3/1/2013,649
ABC999229,1/1/2013,0
ABC999229,2/1/2013,0
ABC999229,3/1/2013,0
ABC999232,1/1/2013,323
ABC999232,2/1/2013,323
ABC999232,3/1/2013,323
ABC999234,1/1/2013,1175
ABC999234,2/1/2013,1175
ABC999234,3/1/2013,1175
ABC999237,1/1/2013,608
ABC999237,2/1/2013,608
ABC999237,3/1/2013,608
ABC999239,1/1/2013,244
ABC999239,2/1/2013,244
ABC999239,3/1/2013,244
ABC999248,1/1/2013,490
ABC999248,2/1/2013,490
ABC999248,3/1/2013,490
ABC999285,1/1/2013,139
ABC999292,2/1/2013,649
ABC999292,3/1/2013,791
ABC999297,2/1/2013,323
ABC999297,3/1/2013,323
ABC999309,2/1/2013,323
ABC999309,3/1/2013,323
ABC999341,1/1/2013,320
ABC999341,2/1/2013,320
ABC999341,3/1/2013,320
ABC999421,1/1/2013,490
ABC999421,2/1/2013,490
ABC999421,3/1/2013,490
ABC999456,3/1/2013,826
ABC999477,1/1/2013,285
ABC999477,3/1/2013,289
ABC999500,1/1/2013,323
ABC999500,2/1/2013,323
ABC999500,3/1/2013,323
ABC999513,1/1/2013,323
ABC999513,2/1/2013,323
ABC999513,3/1/2013,323
ABC999526,1/1/2013,247
ABC999526,2/1/2013,247
ABC999526,3/1/2013,247
ABC999551,1/1/2013,649
ABC999551,2/1/2013,649
ABC999551,3/1/2013,649
ABC999559,1/1/2013,164
ABC999559,2/1/2013,164
ABC999559,3/1/2013,164
ABC999573,2/1/2013,323
ABC999573,3/1/2013,323
ABC999578,1/1/2013,649
ABC999578,2/1/2013,649
ABC999578,3/1/2013,649
ABC999579,1/1/2013,0
ABC999579,2/1/2013,0
ABC999582,1/1/2013,323
ABC999582,2/1/2013,323
ABC999582,3/1/2013,323
ABC999587,2/1/2013,916
ABC999587,3/1/2013,916
ABC999589,1/1/2013,323
ABC999589,2/1/2013,323
ABC999589,3/1/2013,323
ABC999591,1/1/2013,649
ABC999591,2/1/2013,649
ABC999591,3/1/2013,649
ABC999609,1/1/2013,381
ABC999609,2/1/2013,901
ABC999609,3/1/2013,1038
ABC999635,1/1/2013,791
ABC999635,2/1/2013,791
ABC999635,3/1/2013,791
ABC999639,1/1/2013,0
ABC999639,2/1/2013,0
ABC999639,3/1/2013,0
ABC999647,1/1/2013,649
ABC999647,2/1/2013,649
ABC999647,3/1/2013,649
ABC999649,1/1/2013,649
ABC999649,2/1/2013,649
ABC999649,3/1/2013,649
ABC999680,1/1/2013,0
ABC999680,2/1/2013,0
ABC999680,3/1/2013,0
ABC999693,1/1/2013,152
ABC999693,2/1/2013,152
ABC999693,3/1/2013,148
ABC999697,1/1/2013,373
ABC999697,2/1/2013,373
ABC999697,3/1/2013,373
ABC999704,1/1/2013,0
ABC999704,2/1/2013,0
ABC999704,3/1/2013,0
ABC999706,1/1/2013,542
ABC999706,2/1/2013,542
ABC999706,3/1/2013,542
ABC999748,1/1/2013,414
ABC999748,2/1/2013,490
ABC999748,3/1/2013,414
ABC999758,1/1/2013,791
ABC999758,2/1/2013,791
ABC999758,3/1/2013,0
ABC999777,1/1/2013,490
ABC999777,2/1/2013,490
ABC999777,3/1/2013,447
ABC999807,1/1/2013,490
ABC999807,2/1/2013,490
ABC999807,3/1/2013,490
ABC999811,1/1/2013,368
ABC999811,2/1/2013,368
ABC999811,3/1/2013,368
ABC999847,1/1/2013,343
ABC999847,2/1/2013,343
ABC999847,3/1/2013,343
ABC999861,1/1/2013,139
ABC999861,2/1/2013,139
ABC999861,3/1/2013,139
ABC999866,1/1/2013,589
ABC999866,2/1/2013,589
ABC999866,3/1/2013,589
ABC999873,1/1/2013,649
ABC999873,2/1/2013,649
ABC999873,3/1/2013,0
ABC999881,1/1/2013,393
ABC999881,2/1/2013,393
ABC999881,3/1/2013,393
ABC999884,1/1/2013,0
ABC999884,2/1/2013,0
ABC999884,3/1/2013,0
