"","ID","Payment_Date","Overpayment_Amount","Dollar_Error1","Dollar_Error2","Dollar_Error3","Citizenship","Age_in_yrs","ZipCodes","Marital_Status","Previous_Felony","Moved_from_out_of_state_12_mths","Income","Dependent_Care_Amount","Medical_Expense_Amount","Child_Support_Amount","Rent_Amount","Monthly_Benefit","Benefit_Amt","No_Adults","No_Children"
"46","ABC989316","1/1/2013",NA,NA,NA,NA,"Verified",30,"ZIP3","MA","N","N",250,0,0,525.3,604,330,288,1,0
"47","ABC989316","2/1/2013",NA,NA,NA,NA,"Verified",30,"ZIP3","MA","N","N",524,0,0,525.3,0,166,206,1,0
"48","ABC989316","3/1/2013",NA,NA,NA,NA,"Verified",30,"ZIP3","MA","N","N",524,0,0,525.3,0,166,206,1,0
"49","ABC989356","2/1/2013",NA,NA,NA,NA,"Verified",59,"ZIP2","NM","N","N",0,0,0,0,0,400,323,1,0
"50","ABC989356","3/1/2013",NA,NA,NA,NA,"Verified",59,"ZIP2","NM","N","N",0,0,0,0,0,400,323,1,0
"51","ABC989368","1/1/2013",NA,NA,NA,NA,"Verified",28,"ZIP5","NM","N","N",0,0,0,0,604,734,490,1,1
"52","ABC989368","2/1/2013",NA,NA,NA,NA,"Verified",28,"ZIP5","NM","N","N",0,0,0,0,604,734,490,1,1
"53","ABC989368","3/1/2013",NA,NA,NA,NA,"Verified",28,"ZIP5","NM","N","N",0,0,0,0,604,734,490,1,1
"54","ABC989370","1/1/2013",518,NA,518,NA,"Verified",27,"ZIP5","NM","N","N",1010,0,0,0,0,32,139,1,0
"55","ABC989370","2/1/2013",518,NA,518,NA,"Verified",27,"ZIP5","NM","N","N",1010,0,0,0,0,32,139,1,0
"56","ABC989370","3/1/2013",518,NA,518,NA,"Verified",27,"ZIP5","NM","N","N",1001,0,0,0,0,32,139,1,0
"57","ABC989393","1/1/2013",NA,NA,NA,NA,"Verified",36,"ZIP4","MA","N","N",0,0,0,0,1229,1052,649,2,1
