ID,Overpayment_Amount,Payment_Date,Dollar_Error1,Dollar_Error2,Dollar_Error3,Citizenship,Age_in_yrs,ZipCodes,Marital_Status,Previous_Felony,Moved_from_out_of_state_12_mths,Income,Dependent_Care_Amount,Medical_Expense_Amount,Child_Support_Amount,Rent_Amount,Monthly_Benefit,Benefit_Amt,KEY,No_Adults,No_Children
ABC989672, ,1/1/2013, , , ,Verified,42.0,ZIP4,NM,N,N,0,0,0.0,0.0,0.0,0,183,ABC989672,1,0
ABC989672, ,2/1/2013, , , ,Verified,42.0,ZIP4,NM,N,N,604,0,0.0,0.0,650.0,118,182,ABC989672,1,0
ABC989672, ,3/1/2013, , , ,Verified,42.0,ZIP4,NM,N,N,604,0,0.0,0.0,650.0,118,182,ABC989672,1,0
ABC989675, ,2/1/2013, , , ,Unverified,53.0,ZIP3,NM,N,N,716,0,0.0,0.0,302.0,50,148,ABC989675,1,0
ABC989675, ,3/1/2013, , , ,Unverified,53.0,ZIP3,NM,N,N,716,0,0.0,0.0,302.0,50,148,ABC989675,1,0
ABC989680, ,1/1/2013, , , ,Verified,64.0,ZIP3,DI,N,N,307,0,0.0,177.7,753.0,296,271,ABC989680,1,0
ABC989680, ,2/1/2013, , , ,Verified,64.0,ZIP3,DI,N,N,325,0,0.0,177.7,753.0,286,266,ABC989680,1,0
ABC989680, ,3/1/2013, , , ,Verified,64.0,ZIP3,DI,N,N,325,0,0.0,177.7,753.0,286,266,ABC989680,1,0
ABC989703, ,1/1/2013, , , ,Verified,63.0,ZIP2,MA,N,N,381,0,0.0,0.0,828.58,586,416,ABC989703,2,0
ABC989703, ,2/1/2013, , , ,Verified,63.0,ZIP2,MA,N,N,381,0,0.0,0.0,828.58,586,416,ABC989703,2,0
ABC989703, ,3/1/2013, , , ,Verified,63.0,ZIP2,MA,N,N,398,0,0.0,0.0,828.58,576,411,ABC989703,2,0
ABC989724, ,1/1/2013, , , ,Verified,49.0,ZIP5,DI,N,N,0,0,0.0,0.0,1004.0,400,323,ABC989724,1,0
ABC989724, ,2/1/2013, , , ,Verified,49.0,ZIP5,DI,N,N,0,0,0.0,0.0,1004.0,400,323,ABC989724,1,0
ABC989724, ,3/1/2013, , , ,Verified,49.0,ZIP5,DI,N,N,0,0,0.0,0.0,1004.0,400,323,ABC989724,1,0
ABC989737, ,1/1/2013, , , ,Verified,67.0,ZIP1,DI,N,N,0,0,0.0,0.0,0.0,0,285,ABC989737,1,0
ABC989737, ,2/1/2013, , , ,Verified,67.0,ZIP1,DI,N,N,0,0,0.0,0.0,0.0,0,285,ABC989737,1,0
ABC989737, ,3/1/2013, , , ,Verified,67.0,ZIP1,DI,N,N,279,0,0.0,0.0,864.07,312,279,ABC989737,1,0
ABC989761, ,1/1/2013, , , ,Verified,56.0,ZIP3,DI,N,N,0,0,0.0,0.0,0.0,0,306,ABC989761,1,0
ABC989761, ,2/1/2013, , , ,Verified,56.0,ZIP3,DI,N,N,0,0,0.0,0.0,0.0,0,306,ABC989761,1,0
ABC989761, ,3/1/2013, , , ,Verified,56.0,ZIP3,DI,N,N,0,0,0.0,0.0,0.0,0,306,ABC989761,1,0
ABC989787, ,1/1/2013, , , ,Verified,72.0,ZIP1,DI,N,N,371,0,0.0,0.0,754.0,258,252,ABC989787,1,0
ABC989787, ,2/1/2013, , , ,Verified,72.0,ZIP1,DI,N,N,371,0,0.0,0.0,754.0,258,252,ABC989787,1,0
ABC989787, ,3/1/2013, , , ,Verified,72.0,ZIP1,DI,N,N,389,0,0.0,0.0,754.0,246,246,ABC989787,1,0
ABC989789, ,1/1/2013, , , ,Verified,68.0,ZIP1,WI,N,N,401,0,532.0,0.0,666.99,240,243,ABC989789,1,0
ABC989789, ,2/1/2013, , , ,Verified,68.0,ZIP1,WI,N,N,1260,0,0.0,0.0,666.99,0,0,ABC989789,1,0
ABC989798, ,1/1/2013, , , ,Verified,46.0,ZIP4,DI,N,N,0,0,0.0,0.0,0.0,0,264,ABC989798,2,0
ABC989798, ,2/1/2013, , , ,Verified,46.0,ZIP4,DI,N,N,0,0,0.0,0.0,0.0,0,264,ABC989798,2,0
ABC989798, ,3/1/2013, , , ,Verified,46.0,ZIP4,DI,N,N,349,0,0.0,0.0,764.0,270,258,ABC989798,2,0
ABC989849, ,1/1/2013, , , ,Verified,65.0,ZIP5,MA,N,N,759,0,149.0,0.0,908.58,358,302,ABC989849,2,0
ABC989849, ,2/1/2013, , , ,Verified,65.0,ZIP5,MA,N,N,786,0,149.0,0.0,908.58,342,294,ABC989849,2,0
ABC989849, ,3/1/2013, , , ,Verified,65.0,ZIP5,MA,N,N,786,0,149.0,0.0,908.58,342,294,ABC989849,2,0
ABC989866, ,1/1/2013, , , ,Verified,68.0,ZIP3,NM,N,N,464,0,0.0,0.0,662.0,202,224,ABC989866,1,0
ABC989866, ,2/1/2013, , , ,Verified,68.0,ZIP3,NM,N,N,464,0,0.0,0.0,662.0,202,224,ABC989866,1,0
ABC989885, ,1/1/2013, , , ,Verified,27.0,ZIP4,NM,N,,0,0,0.0,0.0,0.0,0,323,ABC989885,1,0
ABC989885, ,3/1/2013, , , ,Verified,27.0,ZIP4,NM,N,,0,0,0.0,0.0,176.0,400,323,ABC989885,1,0
ABC989894,422,1/1/2013,422, , ,Verified,72.0,ZIP2,MA,N,N,1237,0,0.0,0.0,804.0,72,0,ABC989894,2,0
ABC989894,422,2/1/2013,422, , ,Verified,72.0,ZIP2,MA,N,N,1237,0,0.0,0.0,804.0,72,0,ABC989894,2,0
ABC989894,422,3/1/2013,422, , ,Verified,72.0,ZIP2,MA,N,N,1237,0,0.0,0.0,804.0,72,0,ABC989894,2,0
ABC989898, ,1/1/2013, , , ,Verified,63.0,ZIP5,DI,N,N,0,0,399.0,0.0,1054.0,400,323,ABC989898,1,0
ABC989898, ,2/1/2013, , , ,Verified,63.0,ZIP5,DI,N,N,0,0,399.0,0.0,1054.0,400,323,ABC989898,1,0
ABC989898, ,3/1/2013, , , ,Verified,63.0,ZIP5,DI,N,N,0,0,414.0,0.0,1054.0,400,323,ABC989898,1,0
ABC989946, ,1/1/2013, , , ,Verified,39.0,ZIP1,NM,N,N,0,0,0.0,0.0,0.0,400,323,ABC989946,1,0
ABC989946, ,2/1/2013, , , ,Verified,39.0,ZIP1,NM,N,N,0,0,0.0,0.0,0.0,400,323,ABC989946,1,0
ABC989946, ,3/1/2013, , , ,Verified,39.0,ZIP1,NM,N,N,0,0,0.0,0.0,0.0,400,323,ABC989946,1,0
ABC989972, ,1/1/2013, , , ,Unverified,78.0,ZIP5,DI,N,N,0,0,0.0,0.0,747.0,400,323,ABC989972,1,0
ABC989972, ,2/1/2013, , , ,Unverified,78.0,ZIP5,DI,N,N,0,0,0.0,0.0,747.0,400,323,ABC989972,1,0
ABC989972, ,3/1/2013, , , ,Unverified,78.0,ZIP5,DI,N,N,0,0,0.0,0.0,747.0,400,323,ABC989972,1,0
ABC989983, ,1/1/2013, , , ,Verified,55.0,ZIP5,DI,N,N,568,0,0.0,0.0,1054.0,474,360,ABC989983,1,1
ABC989983, ,2/1/2013, , , ,Verified,55.0,ZIP5,DI,N,N,568,0,0.0,0.0,1054.0,474,360,ABC989983,1,1
